#294	LS	code	phase
736	53	736053	78
736	66	736066	92
736	79	736079	42
736	92	736092	70
736	105	736105	84
736	900	736900	0
737	37	737037	84
737	50	737050	34
737	63	737063	48
737	76	737076	76
737	89	737089	90
737	102	737102	40
737	115	737115	68
737	128	737128	82
737	141	737141	32
737	154	737154	46
737	167	737167	74
737	180	737180	88
737	193	737193	38
737	206	737206	66
737	219	737219	80
737	232	737232	30
737	245	737245	44
737	258	737258	72
737	900	737900	0
738	5	738005	44
738	900	738900	0
739	3	739003	72
739	16	739016	86
739	29	739029	36
739	42	739042	64
739	55	739055	78
739	68	739068	92
739	900	739900	0
740	14	740014	42
740	27	740027	70
740	40	740040	84
740	53	740053	34
740	66	740066	48
740	79	740079	76
740	92	740092	90
740	105	740105	40
740	118	740118	68
740	131	740131	82
740	144	740144	32
740	157	740157	46
740	170	740170	74
740	183	740183	88
740	196	740196	38
740	209	740209	66
740	222	740222	80
740	235	740235	30
740	248	740248	44
740	261	740261	72
740	274	740274	86
740	287	740287	36
740	300	740300	64
740	900	740900	0
929	4	929004	78
929	17	929017	92
929	30	929030	42
929	43	929043	70
929	56	929056	84
931	11	931011	34
931	24	931024	48
931	37	931037	76
932	7	932007	90
932	20	932020	40
932	33	932033	68
933	5	933005	82
933	18	933018	32
933	31	933031	46
934	2	934002	74
934	15	934015	88
934	28	934028	38
935	2	935002	66
935	15	935015	80
935	28	935028	30
935	41	935041	44
936	7	936007	72
936	20	936020	86
936	33	936033	36
937	3	937003	64
937	16	937016	78
937	29	937029	92
937	42	937042	42
938	5	938005	70
938	18	938018	84
938	31	938031	34
940	2	940002	48
940	15	940015	76
940	28	940028	90
941	1	941001	40
941	14	941014	68
942	8	942008	82
943	13	943013	32
944	8	944008	46
946	5	946005	74
947	12	947012	88
947	25	947025	38
947	38	947038	66
947	51	947051	80
947	64	947064	30
949	8	949008	44
949	21	949021	72
949	34	949034	86
950	6	950006	36
950	19	950019	64
